#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-11-05 21:55:00| 2023-11-05 23:00:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  20
  2023-11-05 23:00:00| 2023-11-06 00:05:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    5|  21
  2023-11-06 00:05:00| 2023-11-06 01:10:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|   0
  2023-11-06 01:10:00| 2023-11-06 02:15:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|   1
  2023-11-06 02:15:00| 2023-11-06 03:20:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   2
  2023-11-06 03:20:00| 2023-11-06 04:25:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   3
  2023-11-06 04:25:00| 2023-11-06 05:30:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   4
  2023-11-06 05:30:00| 2023-11-06 06:35:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   5
  2023-11-06 06:35:00| 2023-11-06 07:40:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   6
  2023-11-06 07:40:00| 2023-11-06 08:45:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   7
  2023-11-06 08:45:00| 2023-11-06 09:50:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   8
  2023-11-06 09:50:00| 2023-11-06 10:55:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|   9
  2023-11-06 10:55:00| 2023-11-06 12:00:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|  10
  2023-11-06 12:00:00| 2023-11-06 13:05:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    6|  11
  2023-11-06 13:05:00| 2023-11-06 14:10:00|  -45.00|SPECIAL -- Solar Avoidance Violation |100.00|  140.00|   50.00|    6|  12
  2023-11-06 14:10:00| 2023-11-06 15:15:00|  -45.00|SPECIAL -- Lunar Avoidance Violation |220.00|  260.00|   50.00|    6|  13
  2023-11-06 15:15:00| 2023-11-06 16:20:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    6|  14
  2023-11-06 16:20:00| 2023-11-06 17:25:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    6|  15
  2023-11-06 17:25:00| 2023-11-06 18:30:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  16
  2023-11-06 18:30:00| 2023-11-06 19:35:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  17
  2023-11-06 19:35:00| 2023-11-06 20:40:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  18
  2023-11-06 20:40:00| 2023-11-06 21:45:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  19
  2023-11-06 21:45:00| 2023-11-06 22:50:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  20
  2023-11-06 22:50:00| 2023-11-06 23:55:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  21
